RecipeIndex,ResultItemId,ResultItemName,ResultAmount,Ingredients,CraftingStations,Conditions
132,4621,ItemName.BloodyMoscato,1,4285:ItemName.BloodOrangex1;4296:ItemName.Rambutanx1;31:ItemName.Bottlex1,CookingPots,
133,4622,ItemName.SmoothieofDarkness,1,4284:ItemName.BlackCurrantx1;4289:ItemName.Elderberryx1;31:ItemName.Bottlex1,CookingPots,
134,4624,ItemName.FruitJuice,1,4009:ItemName.Applex2;31:ItemName.Bottlex1,CookingPots,
135,4625,ItemName.FruitSalad,1,4009:ItemName.Applex3;356:ItemName.Bowlx1,CookingPots,
136,4623,ItemName.PrismaticPunch,1,4297:ItemName.Starfruitx1;4288:ItemName.Dragonfruitx1;31:ItemName.Bottlex1,CookingPots,
137,4034,ItemName.SeafoodDinner,1,2303:ItemName.ArmoredCavefishx2,CookingPots,NotDecraftable
138,4034,ItemName.SeafoodDinner,1,2317:ItemName.ChaosFishx2,CookingPots,NotDecraftable
139,4034,ItemName.SeafoodDinner,1,2305:ItemName.CrimsonTigerfishx2,CookingPots,NotDecraftable
140,4034,ItemName.SeafoodDinner,1,2304:ItemName.Damselfishx2,CookingPots,NotDecraftable
141,4034,ItemName.SeafoodDinner,1,2313:ItemName.DoubleCodx2,CookingPots,NotDecraftable
142,4034,ItemName.SeafoodDinner,1,2318:ItemName.Ebonkoix2,CookingPots,NotDecraftable
143,4034,ItemName.SeafoodDinner,1,2312:ItemName.FlarefinKoix2,CookingPots,NotDecraftable
144,4034,ItemName.SeafoodDinner,1,2306:ItemName.FrostMinnowx2,CookingPots,NotDecraftable
145,4034,ItemName.SeafoodDinner,1,2319:ItemName.Hemopiranhax2,CookingPots,NotDecraftable
146,4034,ItemName.SeafoodDinner,1,2314:ItemName.Honeyfinx2,CookingPots,NotDecraftable
147,4034,ItemName.SeafoodDinner,1,2302:ItemName.NeonTetrax2,CookingPots,NotDecraftable
148,4034,ItemName.SeafoodDinner,1,2315:ItemName.Obsidifishx2,CookingPots,NotDecraftable
149,4034,ItemName.SeafoodDinner,1,2307:ItemName.PrincessFishx2,CookingPots,NotDecraftable
150,4034,ItemName.SeafoodDinner,1,2310:ItemName.Prismitex2,CookingPots,NotDecraftable
151,4034,ItemName.SeafoodDinner,1,2309:ItemName.SpecularFishx2,CookingPots,NotDecraftable
152,4034,ItemName.SeafoodDinner,1,2321:ItemName.Stinkfishx2,CookingPots,NotDecraftable
153,4034,ItemName.SeafoodDinner,1,2311:ItemName.VariegatedLardfishx2,CookingPots,NotDecraftable
154,968,ItemName.MarshmallowonaStick,1,967:ItemName.Marshmallowx1;9:ItemName.Woodx1,,AnyWood
155,31,ItemName.Bottle,2,170:ItemName.Glassx1,Furnaces,
156,126,ItemName.BottledWater,1,31:ItemName.Bottlex1,,Water
157,1134,ItemName.BottledHoney,1,31:ItemName.Bottlex1,,Honey
158,422,ItemName.HolyWater,10,126:ItemName.BottledWaterx10;501:ItemName.PixieDustx2;369:ItemName.HallowedSeedsx1,,
159,423,ItemName.UnholyWater,10,126:ItemName.BottledWaterx10;370:ItemName.EbonsandBlockx1;59:ItemName.CorruptSeedsx1,,
160,3477,ItemName.BloodWater,10,126:ItemName.BottledWaterx10;1246:ItemName.CrimsandBlockx1;2171:ItemName.CrimsonSeedsx1,,
161,28,ItemName.LesserHealingPotion,2,5:ItemName.Mushroomx1;23:ItemName.Gelx2;31:ItemName.Bottlex2,Bottles,AlchemyTable;NotDecraftable
162,227,ItemName.RestorationPotion,1,5:ItemName.Mushroomx1;183:ItemName.GlowingMushroomx1;3111:ItemName.PinkGelx1;31:ItemName.Bottlex1,Bottles,AlchemyTable;NotDecraftable
163,188,ItemName.HealingPotion,1,28:ItemName.LesserHealingPotionx2;183:ItemName.GlowingMushroomx1,Bottles,AlchemyTable;NotDecraftable
164,499,ItemName.GreaterHealingPotion,3,126:ItemName.BottledWaterx3;501:ItemName.PixieDustx3;502:ItemName.CrystalShardx1,Bottles,AlchemyTable;NotDecraftable
165,3544,ItemName.SuperHealingPotion,4,499:ItemName.GreaterHealingPotionx4;3457:ItemName.FragmentNebulax1;3458:ItemName.FragmentSolarx1;3459:ItemName.FragmentStardustx1;3456:ItemName.FragmentVortexx1,Bottles,AlchemyTable;NotDecraftable
166,189,ItemName.ManaPotion,1,110:ItemName.LesserManaPotionx2;183:ItemName.GlowingMushroomx1,Bottles,AlchemyTable;NotDecraftable
167,2209,ItemName.SuperManaPotion,15,500:ItemName.GreaterManaPotionx15;75:ItemName.FallenStarx1;502:ItemName.CrystalShardx3;526:ItemName.UnicornHornx1,Bottles,AlchemyTable;NotDecraftable
168,2756,ItemName.GenderChangePotion,1,126:ItemName.BottledWaterx1;313:ItemName.Daybloomx1;314:ItemName.Moonglowx1;315:ItemName.Blinkrootx1;317:ItemName.Waterleafx1;316:ItemName.Deathweedx1;2358:ItemName.Shiverthornx1;318:ItemName.Fireblossomx1,Bottles,AlchemyTable
169,5099,ItemName.GarlandHat,1,313:ItemName.Daybloomx1;314:ItemName.Moonglowx1;315:ItemName.Blinkrootx1;317:ItemName.Waterleafx1;316:ItemName.Deathweedx1;2358:ItemName.Shiverthornx1;318:ItemName.Fireblossomx1,,
170,288,ItemName.ObsidianSkinPotion,1,126:ItemName.BottledWaterx1;318:ItemName.Fireblossomx1;317:ItemName.Waterleafx1;173:ItemName.Obsidianx1,Bottles,AlchemyTable
171,289,ItemName.RegenerationPotion,1,126:ItemName.BottledWaterx1;313:ItemName.Daybloomx1;5:ItemName.Mushroomx1,Bottles,AlchemyTable
172,290,ItemName.SwiftnessPotion,1,126:ItemName.BottledWaterx1;315:ItemName.Blinkrootx1;276:ItemName.Cactusx1,Bottles,AlchemyTable
173,291,ItemName.GillsPotion,1,126:ItemName.BottledWaterx1;317:ItemName.Waterleafx1;275:ItemName.Coralx1,Bottles,AlchemyTable
174,292,ItemName.IronskinPotion,1,126:ItemName.BottledWaterx1;313:ItemName.Daybloomx1;11:ItemName.IronOrex1,Bottles,AlchemyTable
175,292,ItemName.IronskinPotion,1,126:ItemName.BottledWaterx1;313:ItemName.Daybloomx1;700:ItemName.LeadOrex1,Bottles,AlchemyTable;NotDecraftable
176,293,ItemName.ManaRegenerationPotion,1,126:ItemName.BottledWaterx1;314:ItemName.Moonglowx1;313:ItemName.Daybloomx1;75:ItemName.FallenStarx1,Bottles,AlchemyTable
177,294,ItemName.MagicPowerPotion,1,126:ItemName.BottledWaterx1;314:ItemName.Moonglowx1;316:ItemName.Deathweedx1;75:ItemName.FallenStarx1,Bottles,AlchemyTable
178,295,ItemName.FeatherfallPotion,1,126:ItemName.BottledWaterx1;313:ItemName.Daybloomx1;315:ItemName.Blinkrootx1;320:ItemName.Featherx1,Bottles,AlchemyTable
179,296,ItemName.SpelunkerPotion,1,126:ItemName.BottledWaterx1;315:ItemName.Blinkrootx1;314:ItemName.Moonglowx1;13:ItemName.GoldOrex1,Bottles,AlchemyTable
180,296,ItemName.SpelunkerPotion,1,126:ItemName.BottledWaterx1;315:ItemName.Blinkrootx1;314:ItemName.Moonglowx1;702:ItemName.PlatinumOrex1,Bottles,AlchemyTable;NotDecraftable
181,297,ItemName.InvisibilityPotion,1,126:ItemName.BottledWaterx1;315:ItemName.Blinkrootx1;314:ItemName.Moonglowx1,Bottles,AlchemyTable
182,298,ItemName.ShinePotion,1,126:ItemName.BottledWaterx1;313:ItemName.Daybloomx1;183:ItemName.GlowingMushroomx1,Bottles,AlchemyTable
183,299,ItemName.NightOwlPotion,1,126:ItemName.BottledWaterx1;313:ItemName.Daybloomx1;315:ItemName.Blinkrootx1,Bottles,AlchemyTable
184,300,ItemName.BattlePotion,1,126:ItemName.BottledWaterx1;316:ItemName.Deathweedx1;68:ItemName.RottenChunkx1,Bottles,AlchemyTable
185,300,ItemName.BattlePotion,1,126:ItemName.BottledWaterx1;316:ItemName.Deathweedx1;1330:ItemName.Vertebraex1,Bottles,AlchemyTable
186,301,ItemName.ThornsPotion,1,126:ItemName.BottledWaterx1;316:ItemName.Deathweedx1;276:ItemName.Cactusx1,Bottles,AlchemyTable
187,302,ItemName.WaterWalkingPotion,1,126:ItemName.BottledWaterx1;317:ItemName.Waterleafx1;319:ItemName.SharkFinx1,Bottles,AlchemyTable
188,303,ItemName.ArcheryPotion,1,126:ItemName.BottledWaterx1;313:ItemName.Daybloomx1;38:ItemName.Lensx1,Bottles,AlchemyTable
189,304,ItemName.HunterPotion,1,126:ItemName.BottledWaterx1;313:ItemName.Daybloomx1;315:ItemName.Blinkrootx1;319:ItemName.SharkFinx1,Bottles,AlchemyTable
190,305,ItemName.GravitationPotion,1,126:ItemName.BottledWaterx1;318:ItemName.Fireblossomx1;316:ItemName.Deathweedx1;315:ItemName.Blinkrootx1;320:ItemName.Featherx1,Bottles,AlchemyTable
191,2354,ItemName.FishingPotion,1,126:ItemName.BottledWaterx1;1127:ItemName.CrispyHoneyBlockx1;317:ItemName.Waterleafx1,Bottles,AlchemyTable
192,2356,ItemName.CratePotion,1,126:ItemName.BottledWaterx1;999:ItemName.Amberx1;314:ItemName.Moonglowx1;2358:ItemName.Shiverthornx1;317:ItemName.Waterleafx1,Bottles,AlchemyTable
193,2325,ItemName.BuilderPotion,1,126:ItemName.BottledWaterx1;315:ItemName.Blinkrootx1;2358:ItemName.Shiverthornx1;314:ItemName.Moonglowx1,Bottles,AlchemyTable
194,2326,ItemName.TitanPotion,1,126:ItemName.BottledWaterx1;154:ItemName.Bonex1;316:ItemName.Deathweedx1;2358:ItemName.Shiverthornx1,Bottles,AlchemyTable
195,2329,ItemName.TrapsightPotion,1,126:ItemName.BottledWaterx1;2358:ItemName.Shiverthornx1;150:ItemName.Cobwebx10,Bottles,AlchemyTable
196,2355,ItemName.SonarPotion,1,126:ItemName.BottledWaterx1;317:ItemName.Waterleafx1;275:ItemName.Coralx1,Bottles,AlchemyTable
197,2322,ItemName.MiningPotion,1,126:ItemName.BottledWaterx1;323:ItemName.AntlionMandiblex1;315:ItemName.Blinkrootx1,Bottles,AlchemyTable
198,2327,ItemName.FlipperPotion,1,126:ItemName.BottledWaterx1;2358:ItemName.Shiverthornx1;317:ItemName.Waterleafx1,Bottles,AlchemyTable
199,2323,ItemName.HeartreachPotion,1,126:ItemName.BottledWaterx1;2305:ItemName.CrimsonTigerfishx1;313:ItemName.Daybloomx1,Bottles,AlchemyTable
200,2324,ItemName.CalmingPotion,1,126:ItemName.BottledWaterx1;2304:ItemName.Damselfishx1;313:ItemName.Daybloomx1,Bottles,AlchemyTable
201,2328,ItemName.SummoningPotion,1,126:ItemName.BottledWaterx1;2311:ItemName.VariegatedLardfishx1;314:ItemName.Moonglowx1,Bottles,AlchemyTable
202,2344,ItemName.AmmoReservationPotion,1,126:ItemName.BottledWaterx1;2313:ItemName.DoubleCodx1;314:ItemName.Moonglowx1,Bottles,AlchemyTable
203,2345,ItemName.LifeforcePotion,1,126:ItemName.BottledWaterx1;2310:ItemName.Prismitex1;314:ItemName.Moonglowx1;2358:ItemName.Shiverthornx1;317:ItemName.Waterleafx1,Bottles,AlchemyTable
204,2346,ItemName.EndurancePotion,1,126:ItemName.BottledWaterx1;2303:ItemName.ArmoredCavefishx1;315:ItemName.Blinkrootx1,Bottles,AlchemyTable
205,2348,ItemName.InfernoPotion,1,126:ItemName.BottledWaterx1;2312:ItemName.FlarefinKoix1;2315:ItemName.Obsidifishx2;318:ItemName.Fireblossomx1,Bottles,AlchemyTable
206,2347,ItemName.RagePotion,1,126:ItemName.BottledWaterx1;2319:ItemName.Hemopiranhax1;316:ItemName.Deathweedx1,Bottles,AlchemyTable
207,2349,ItemName.WrathPotion,1,126:ItemName.BottledWaterx1;2318:ItemName.Ebonkoix1;316:ItemName.Deathweedx1,Bottles,AlchemyTable
208,2350,ItemName.RecallPotion,1,126:ItemName.BottledWaterx1;2309:ItemName.SpecularFishx1;313:ItemName.Daybloomx1,Bottles,AlchemyTable
209,2997,ItemName.WormholePotion,3,126:ItemName.BottledWaterx3;2309:ItemName.SpecularFishx1;315:ItemName.Blinkrootx1,Bottles,AlchemyTable
210,2351,ItemName.TeleportationPotion,1,126:ItemName.BottledWaterx1;2317:ItemName.ChaosFishx1;318:ItemName.Fireblossomx1,Bottles,AlchemyTable
211,2352,ItemName.LovePotion,1,126:ItemName.BottledWaterx1;2307:ItemName.PrincessFishx1;2358:ItemName.Shiverthornx1,Bottles,AlchemyTable
212,2353,ItemName.StinkPotion,1,126:ItemName.BottledWaterx1;2321:ItemName.Stinkfishx1;316:ItemName.Deathweedx1,Bottles,AlchemyTable
213,2359,ItemName.WarmthPotion,1,126:ItemName.BottledWaterx1;2306:ItemName.FrostMinnowx1;2358:ItemName.Shiverthornx1,Bottles,AlchemyTable
214,4477,ItemName.LuckPotionLesser,1,126:ItemName.BottledWaterx1;317:ItemName.Waterleafx1;4361:ItemName.LadyBugx1;4412:ItemName.WhitePearlx1,Bottles,AlchemyTable
215,4478,ItemName.LuckPotion,1,126:ItemName.BottledWaterx1;317:ItemName.Waterleafx1;4361:ItemName.LadyBugx1;4413:ItemName.BlackPearlx1,Bottles,AlchemyTable
216,4479,ItemName.LuckPotionGreater,1,126:ItemName.BottledWaterx1;317:ItemName.Waterleafx1;4361:ItemName.LadyBugx1;4414:ItemName.PinkPearlx1,Bottles,AlchemyTable
217,4870,ItemName.PotionOfReturn,1,2350:ItemName.RecallPotionx1;2315:ItemName.Obsidifishx1,Bottles,AlchemyTable
218,5211,ItemName.BiomeSightPotion,1,126:ItemName.BottledWaterx1;318:ItemName.Fireblossomx1;315:ItemName.Blinkrootx1;314:ItemName.Moonglowx1;62:ItemName.GrassSeedsx5,Bottles,AlchemyTable
219,1359,ItemName.FlaskofPoison,1,126:ItemName.BottledWaterx1;209:ItemName.Stingerx1,ImbuingStation,
220,1354,ItemName.FlaskofFire,1,126:ItemName.BottledWaterx1;174:ItemName.Hellstonex3,ImbuingStation,
