Id,Name,InternalName,Value,SellPrice
53,CloudinaBottle,CloudinaBottle,50000,10000
54,HermesBoots,HermesBoots,50000,10000
55,EnchantedBoomerang,EnchantedBoomerang,50000,10000
56,DemoniteOre,DemoniteOre,5000,1000
57,DemoniteBar,DemoniteBar,15000,3000
58,Heart,Heart,0,0
59,CorruptSeeds,CorruptSeeds,500,100
60,VileMushroom,VileMushroom,50,10
61,EbonstoneBlock,EbonstoneBlock,0,0
62,GrassSeeds,GrassSeeds,20,4
63,Sunflower,Sunflower,5000,1000
64,Vilethorn,Vilethorn,75000,15000
65,Starfury,Starfury,50000,10000
66,PurificationPowder,PurificationPowder,75,15
67,VilePowder,VilePowder,100,20
68,RottenChunk,RottenChunk,10,2
69,WormTooth,WormTooth,100,20
70,WormFood,WormFood,0,0
71,CopperCoin,CopperCoin,5,1
72,SilverCoin,SilverCoin,500,100
73,GoldCoin,GoldCoin,50000,10000
74,PlatinumCoin,PlatinumCoin,5000000,1000000
75,FallenStar,FallenStar,2500,500
76,CopperGreaves,CopperGreaves,1000,200
77,IronGreaves,IronGreaves,4000,800
78,SilverGreaves,SilverGreaves,10000,2000
79,GoldGreaves,GoldGreaves,20000,4000
80,CopperChainmail,CopperChainmail,1250,250
81,IronChainmail,IronChainmail,5000,1000
82,SilverChainmail,SilverChainmail,12500,2500
83,GoldChainmail,GoldChainmail,25000,5000
84,GrapplingHook,GrapplingHook,20000,4000
85,Chain,Chain,200,40
86,ShadowScale,ShadowScale,500,100
87,PiggyBank,PiggyBank,10000,2000
88,MiningHelmet,MiningHelmet,40000,8000
89,CopperHelmet,CopperHelmet,750,150
90,IronHelmet,IronHelmet,3000,600
91,SilverHelmet,SilverHelmet,7500,1500
92,GoldHelmet,GoldHelmet,15000,3000
93,WoodWall,WoodWall,0,0
94,WoodPlatform,WoodPlatform,0,0
95,FlintlockPistol,FlintlockPistol,50000,10000
96,Musket,Musket,75000,15000
97,MusketBall,MusketBall,7,1
98,Minishark,Minishark,350000,70000
99,IronBow,IronBow,1400,280
100,ShadowGreaves,ShadowGreaves,22500,4500
101,ShadowScalemail,ShadowScalemail,30000,6000
102,ShadowHelmet,ShadowHelmet,37500,7500
103,NightmarePickaxe,NightmarePickaxe,18000,3600
104,TheBreaker,TheBreaker,15000,3000
105,Candle,Candle,1500,300
106,CopperChandelier,CopperChandelier,3000,600
107,SilverChandelier,SilverChandelier,12000,2400
108,GoldChandelier,GoldChandelier,24000,4800
109,ManaCrystal,ManaCrystal,12500,2500
110,LesserManaPotion,LesserManaPotion,100,20
111,BandofStarpower,BandofStarpower,75000,15000
112,FlowerofFire,FlowerofFire,125000,25000
113,MagicMissile,MagicMissile,87500,17500
114,DirtRod,DirtRod,50000,10000
115,ShadowOrb,ShadowOrb,75000,15000
116,Meteorite,Meteorite,1000,200
117,MeteoriteBar,MeteoriteBar,7000,1400
118,Hook,Hook,1000,200
119,Flamarang,Flamarang,100000,20000
120,MoltenFury,MoltenFury,27000,5400
121,FieryGreatsword,FieryGreatsword,27000,5400
122,MoltenPickaxe,MoltenPickaxe,27000,5400
123,MeteorHelmet,MeteorHelmet,45000,9000
124,MeteorSuit,MeteorSuit,30000,6000
125,MeteorLeggings,MeteorLeggings,30000,6000
126,BottledWater,BottledWater,20,4
127,SpaceGun,SpaceGun,20000,4000
128,RocketBoots,RocketBoots,50000,10000
129,GrayBrick,GrayBrick,0,0
130,GrayBrickWall,GrayBrickWall,0,0
131,RedBrick,RedBrick,0,0
132,RedBrickWall,RedBrickWall,0,0
133,ClayBlock,ClayBlock,0,0
134,BlueBrick,BlueBrick,0,0
135,BlueBrickWall,BlueBrickWall,0,0
136,ChainLantern,ChainLantern,150,30
137,GreenBrick,GreenBrick,0,0
138,GreenBrickWall,GreenBrickWall,0,0
139,PinkBrick,PinkBrick,0,0
140,PinkBrickWall,PinkBrickWall,0,0
141,GoldBrick,GoldBrick,0,0
142,GoldBrickWall,GoldBrickWall,0,0
143,SilverBrick,SilverBrick,0,0
144,SilverBrickWall,SilverBrickWall,0,0
145,CopperBrick,CopperBrick,0,0
146,CopperBrickWall,CopperBrickWall,0,0
147,Spike,Spike,0,0
148,WaterCandle,WaterCandle,500,100
149,Book,Book,1500,300
150,Cobweb,Cobweb,0,0
151,NecroHelmet,NecroHelmet,45000,9000
152,NecroBreastplate,NecroBreastplate,30000,6000
153,NecroGreaves,NecroGreaves,30000,6000
154,Bone,Bone,50,10
155,Muramasa,Muramasa,87500,17500
156,CobaltShield,CobaltShield,87500,17500
157,AquaScepter,AquaScepter,87500,17500
158,LuckyHorseshoe,LuckyHorseshoe,27000,5400
159,ShinyRedBalloon,ShinyRedBalloon,75000,15000
160,Harpoon,Harpoon,27000,5400
161,SpikyBall,SpikyBall,80,16
162,BallOHurt,BallOHurt,75000,15000
163,BlueMoon,BlueMoon,87500,17500
164,Handgun,Handgun,87500,17500
165,WaterBolt,WaterBolt,75000,15000
166,Bomb,Bomb,300,60
167,Dynamite,Dynamite,2000,400
168,Grenade,Grenade,75,15
169,SandBlock,SandBlock,0,0
170,Glass,Glass,0,0
171,Sign,Sign,0,0
172,AshBlock,AshBlock,0,0
173,Obsidian,Obsidian,0,0
174,Hellstone,Hellstone,1250,250
175,HellstoneBar,HellstoneBar,20000,4000
176,MudBlock,MudBlock,0,0
177,Sapphire,Sapphire,5625,1125
178,Ruby,Ruby,11250,2250
179,Emerald,Emerald,7500,1500
180,Topaz,Topaz,3750,750
181,Amethyst,Amethyst,1875,375
182,Diamond,Diamond,15000,3000
183,GlowingMushroom,GlowingMushroom,50,10
184,Star,Star,0,0
185,IvyWhip,IvyWhip,20000,4000
186,BreathingReed,BreathingReed,10000,2000
187,Flipper,Flipper,10000,2000
188,HealingPotion,HealingPotion,1000,200
189,ManaPotion,ManaPotion,250,50
190,BladeofGrass,BladeofGrass,27000,5400
191,ThornChakram,ThornChakram,50000,10000
192,ObsidianBrick,ObsidianBrick,0,0
193,ObsidianSkull,ObsidianSkull,27000,5400
194,MushroomGrassSeeds,MushroomGrassSeeds,150,30
195,JungleGrassSeeds,JungleGrassSeeds,150,30
196,WoodenHammer,WoodenHammer,50,10
197,StarCannon,StarCannon,500000,100000
198,BluePhaseblade,BluePhaseblade,27000,5400
199,RedPhaseblade,RedPhaseblade,27000,5400
200,GreenPhaseblade,GreenPhaseblade,27000,5400
201,PurplePhaseblade,PurplePhaseblade,27000,5400
202,WhitePhaseblade,WhitePhaseblade,27000,5400
203,YellowPhaseblade,YellowPhaseblade,27000,5400
204,MeteorHamaxe,MeteorHamaxe,15000,3000
205,EmptyBucket,EmptyBucket,0,0
206,WaterBucket,WaterBucket,0,0
207,LavaBucket,LavaBucket,0,0
208,JungleRose,JungleRose,100,20
209,Stinger,Stinger,200,40
210,Vine,Vine,1000,200
211,FeralClaws,FeralClaws,50000,10000
212,AnkletoftheWind,AnkletoftheWind,50000,10000
213,StaffofRegrowth,StaffofRegrowth,25000,5000
214,HellstoneBrick,HellstoneBrick,0,0
215,WhoopieCushion,WhoopieCushion,100,20
216,Shackle,Shackle,10000,2000
217,MoltenHamaxe,MoltenHamaxe,27000,5400
218,Flamelash,Flamelash,125000,25000
219,PhoenixBlaster,PhoenixBlaster,175000,35000
220,Sunfury,Sunfury,125000,25000
221,Hellforge,Hellforge,3000,600
222,ClayPot,ClayPot,100,20
223,NaturesGift,NaturesGift,27000,5400
224,Bed,Bed,2000,400
225,Silk,Silk,1000,200
226,LesserRestorationPotion,LesserRestorationPotion,1500,300
227,RestorationPotion,RestorationPotion,1500,300
228,JungleHat,JungleHat,45000,9000
229,JungleShirt,JungleShirt,30000,6000
230,JunglePants,JunglePants,30000,6000
231,MoltenHelmet,MoltenHelmet,45000,9000
232,MoltenBreastplate,MoltenBreastplate,30000,6000
233,MoltenGreaves,MoltenGreaves,30000,6000
234,MeteorShot,MeteorShot,8,1
235,StickyBomb,StickyBomb,500,100
236,BlackLens,BlackLens,5000,1000
237,Sunglasses,Sunglasses,10000,2000
238,WizardHat,WizardHat,10000,2000
239,TopHat,TopHat,10000,2000
240,TuxedoShirt,TuxedoShirt,5000,1000
241,TuxedoPants,TuxedoPants,5000,1000
242,SummerHat,SummerHat,10000,2000
243,BunnyHood,BunnyHood,20000,4000
244,PlumbersHat,PlumbersHat,10000,2000
245,PlumbersShirt,PlumbersShirt,250000,50000
246,PlumbersPants,PlumbersPants,250000,50000
247,HerosHat,HerosHat,10000,2000
248,HerosShirt,HerosShirt,5000,1000
249,HerosPants,HerosPants,5000,1000
250,FishBowl,FishBowl,10000,2000
251,ArchaeologistsHat,ArchaeologistsHat,10000,2000
252,ArchaeologistsJacket,ArchaeologistsJacket,5000,1000
253,ArchaeologistsPants,ArchaeologistsPants,5000,1000
254,BlackThread,BlackThread,10000,2000
255,GreenThread,GreenThread,2000,400
256,NinjaHood,NinjaHood,10000,2000
257,NinjaShirt,NinjaShirt,5000,1000
258,NinjaPants,NinjaPants,5000,1000
259,Leather,Leather,50,10
260,RedHat,RedHat,1000,200
261,Goldfish,Goldfish,3750,750
262,Robe,Robe,2000,400
263,RobotHat,RobotHat,10000,2000
264,GoldCrown,GoldCrown,10000,2000
265,HellfireArrow,HellfireArrow,100,20
266,Sandgun,Sandgun,10000,2000
267,GuideVoodooDoll,GuideVoodooDoll,1000,200
268,DivingHelmet,DivingHelmet,1000,200
269,FamiliarShirt,FamiliarShirt,10000,2000
270,FamiliarPants,FamiliarPants,10000,2000
271,FamiliarWig,FamiliarWig,10000,2000
272,DemonScythe,DemonScythe,75000,15000
273,NightsEdge,NightsEdge,200000,40000
274,DarkLance,DarkLance,125000,25000
275,Coral,Coral,1000,200
276,Cactus,Cactus,10,2
277,Trident,Trident,10000,2000
278,SilverBullet,SilverBullet,15,3
279,ThrowingKnife,ThrowingKnife,50,10
280,Spear,Spear,1000,200
281,Blowpipe,Blowpipe,10000,2000
282,Glowstick,Glowstick,10,2
283,Seed,Seed,0,0
284,WoodenBoomerang,WoodenBoomerang,10000,2000
285,Aglet,Aglet,25000,5000
286,StickyGlowstick,StickyGlowstick,20,4
287,PoisonedKnife,PoisonedKnife,60,12
288,ObsidianSkinPotion,ObsidianSkinPotion,1000,200
289,RegenerationPotion,RegenerationPotion,1000,200
290,SwiftnessPotion,SwiftnessPotion,1000,200
291,GillsPotion,GillsPotion,1000,200
292,IronskinPotion,IronskinPotion,1000,200
293,ManaRegenerationPotion,ManaRegenerationPotion,1000,200
294,MagicPowerPotion,MagicPowerPotion,1000,200
295,FeatherfallPotion,FeatherfallPotion,1000,200
296,SpelunkerPotion,SpelunkerPotion,1000,200
297,InvisibilityPotion,InvisibilityPotion,1000,200
298,ShinePotion,ShinePotion,1000,200
299,NightOwlPotion,NightOwlPotion,1000,200
300,BattlePotion,BattlePotion,1000,200
301,ThornsPotion,ThornsPotion,1000,200
302,WaterWalkingPotion,WaterWalkingPotion,1000,200
303,ArcheryPotion,ArcheryPotion,1000,200
304,HunterPotion,HunterPotion,1000,200
305,GravitationPotion,GravitationPotion,1000,200
306,GoldChest,GoldChest,5000,1000
307,DaybloomSeeds,DaybloomSeeds,80,16
308,MoonglowSeeds,MoonglowSeeds,80,16
309,BlinkrootSeeds,BlinkrootSeeds,80,16
310,DeathweedSeeds,DeathweedSeeds,80,16
311,WaterleafSeeds,WaterleafSeeds,80,16
312,FireblossomSeeds,FireblossomSeeds,80,16
313,Daybloom,Daybloom,100,20
314,Moonglow,Moonglow,100,20
315,Blinkroot,Blinkroot,100,20
316,Deathweed,Deathweed,100,20
317,Waterleaf,Waterleaf,100,20
318,Fireblossom,Fireblossom,100,20
319,SharkFin,SharkFin,200,40
320,Feather,Feather,50,10
321,Tombstone,Tombstone,0,0
322,MimeMask,MimeMask,20000,4000
323,AntlionMandible,AntlionMandible,50,10
324,IllegalGunParts,IllegalGunParts,200000,40000
325,TheDoctorsShirt,TheDoctorsShirt,200000,40000
326,TheDoctorsPants,TheDoctorsPants,200000,40000
327,GoldenKey,GoldenKey,0,0
328,ShadowChest,ShadowChest,5000,1000
329,ShadowKey,ShadowKey,87500,17500
330,ObsidianBrickWall,ObsidianBrickWall,0,0
331,JungleSpores,JungleSpores,100,20
332,Loom,Loom,300,60
333,Piano,Piano,300,60
334,Dresser,Dresser,300,60
335,Bench,Bench,300,60
336,Bathtub,Bathtub,300,60
337,RedBanner,RedBanner,500,100
338,GreenBanner,GreenBanner,500,100
339,BlueBanner,BlueBanner,500,100
340,YellowBanner,YellowBanner,500,100
341,LampPost,LampPost,500,100
342,TikiTorch,TikiTorch,500,100
343,Barrel,Barrel,500,100
344,ChineseLantern,ChineseLantern,500,100
345,CookingPot,CookingPot,500,100
346,Safe,Safe,200000,40000
347,SkullLantern,SkullLantern,500,100
348,TrashCan,TrashCan,1000,200
349,Candelabra,Candelabra,1500,300
350,PinkVase,PinkVase,70,14
351,Mug,Mug,20,4
352,Keg,Keg,600,120
353,Ale,Ale,100,20
354,Bookcase,Bookcase,300,60
355,Throne,Throne,300,60
356,Bowl,Bowl,20,4
357,BowlofSoup,BowlofSoup,10000,2000
358,Toilet,Toilet,150,30
359,GrandfatherClock,GrandfatherClock,300,60
360,ArmorStatue,ArmorStatue,300,60
361,GoblinBattleStandard,GoblinBattleStandard,0,0
362,TatteredCloth,TatteredCloth,30,6
363,Sawmill,Sawmill,300,60
364,CobaltOre,CobaltOre,3500,700
365,MythrilOre,MythrilOre,5500,1100
366,AdamantiteOre,AdamantiteOre,7500,1500
367,Pwnhammer,Pwnhammer,39000,7800
368,Excalibur,Excalibur,230000,46000
369,HallowedSeeds,HallowedSeeds,2000,400
370,EbonsandBlock,EbonsandBlock,0,0
371,CobaltHat,CobaltHat,75000,15000
372,CobaltHelmet,CobaltHelmet,75000,15000
373,CobaltMask,CobaltMask,75000,15000
374,CobaltBreastplate,CobaltBreastplate,60000,12000
375,CobaltLeggings,CobaltLeggings,45000,9000
376,MythrilHood,MythrilHood,112500,22500
377,MythrilHelmet,MythrilHelmet,112500,22500
378,MythrilHat,MythrilHat,112500,22500
379,MythrilChainmail,MythrilChainmail,90000,18000
380,MythrilGreaves,MythrilGreaves,67500,13500
381,CobaltBar,CobaltBar,10500,2100
382,MythrilBar,MythrilBar,22000,4400
383,CobaltChainsaw,CobaltChainsaw,54000,10800
384,MythrilChainsaw,MythrilChainsaw,81000,16200
385,CobaltDrill,CobaltDrill,54000,10800
386,MythrilDrill,MythrilDrill,81000,16200
387,AdamantiteChainsaw,AdamantiteChainsaw,108000,21600
388,AdamantiteDrill,AdamantiteDrill,108000,21600
389,DaoofPow,DaoofPow,144000,28800
390,MythrilHalberd,MythrilHalberd,67500,13500
391,AdamantiteBar,AdamantiteBar,30000,6000
392,GlassWall,GlassWall,0,0
393,Compass,Compass,12500,2500
394,DivingGear,DivingGear,100000,20000
395,GPS,GPS,150000,30000
396,ObsidianHorseshoe,ObsidianHorseshoe,60000,12000
397,ObsidianShield,ObsidianShield,100000,20000
398,TinkerersWorkshop,TinkerersWorkshop,100000,20000
399,CloudinaBalloon,CloudinaBalloon,150000,30000
400,AdamantiteHeadgear,AdamantiteHeadgear,150000,30000
401,AdamantiteHelmet,AdamantiteHelmet,150000,30000
402,AdamantiteMask,AdamantiteMask,150000,30000
403,AdamantiteBreastplate,AdamantiteBreastplate,120000,24000
404,AdamantiteLeggings,AdamantiteLeggings,90000,18000
405,SpectreBoots,SpectreBoots,100000,20000
406,AdamantiteGlaive,AdamantiteGlaive,90000,18000
407,Toolbelt,Toolbelt,100000,20000
408,PearlsandBlock,PearlsandBlock,0,0
409,PearlstoneBlock,PearlstoneBlock,0,0
410,MiningShirt,MiningShirt,5000,1000
411,MiningPants,MiningPants,5000,1000
412,PearlstoneBrick,PearlstoneBrick,0,0
413,IridescentBrick,IridescentBrick,0,0
414,MudstoneBlock,MudstoneBlock,0,0
415,CobaltBrick,CobaltBrick,0,0
416,MythrilBrick,MythrilBrick,0,0
417,PearlstoneBrickWall,PearlstoneBrickWall,0,0
418,IridescentBrickWall,IridescentBrickWall,0,0
419,MudstoneBrickWall,MudstoneBrickWall,0,0
420,CobaltBrickWall,CobaltBrickWall,0,0
421,MythrilBrickWall,MythrilBrickWall,0,0
422,HolyWater,HolyWater,200,40
423,UnholyWater,UnholyWater,100,20
424,SiltBlock,SiltBlock,0,0
425,FairyBell,FairyBell,250000,50000
426,BreakerBlade,BreakerBlade,150000,30000
427,BlueTorch,BlueTorch,200,40
428,RedTorch,RedTorch,200,40
429,GreenTorch,GreenTorch,200,40
430,PurpleTorch,PurpleTorch,200,40
431,WhiteTorch,WhiteTorch,500,100
432,YellowTorch,YellowTorch,200,40
433,DemonTorch,DemonTorch,300,60
434,ClockworkAssaultRifle,ClockworkAssaultRifle,150000,30000
435,CobaltRepeater,CobaltRepeater,60000,12000
436,MythrilRepeater,MythrilRepeater,90000,18000
437,DualHook,DualHook,150000,30000
438,StarStatue,StarStatue,300,60
439,SwordStatue,SwordStatue,300,60
440,SlimeStatue,SlimeStatue,300,60
441,GoblinStatue,GoblinStatue,300,60
442,ShieldStatue,ShieldStatue,300,60
443,BatStatue,BatStatue,300,60
444,FishStatue,FishStatue,300,60
445,BunnyStatue,BunnyStatue,300,60
446,SkeletonStatue,SkeletonStatue,300,60
447,ReaperStatue,ReaperStatue,300,60
448,WomanStatue,WomanStatue,300,60
449,ImpStatue,ImpStatue,300,60
450,GargoyleStatue,GargoyleStatue,300,60
451,GloomStatue,GloomStatue,300,60
452,HornetStatue,HornetStatue,300,60
453,BombStatue,BombStatue,300,60
454,CrabStatue,CrabStatue,300,60
455,HammerStatue,HammerStatue,300,60
456,PotionStatue,PotionStatue,300,60
457,SpearStatue,SpearStatue,300,60
458,CrossStatue,CrossStatue,300,60
459,JellyfishStatue,JellyfishStatue,300,60
460,BowStatue,BowStatue,300,60
461,BoomerangStatue,BoomerangStatue,300,60
462,BootStatue,BootStatue,300,60
463,ChestStatue,ChestStatue,300,60
464,BirdStatue,BirdStatue,300,60
465,AxeStatue,AxeStatue,300,60
466,CorruptStatue,CorruptStatue,300,60
467,TreeStatue,TreeStatue,300,60
468,AnvilStatue,AnvilStatue,300,60
469,PickaxeStatue,PickaxeStatue,300,60
470,MushroomStatue,MushroomStatue,300,60
471,EyeballStatue,EyeballStatue,300,60
472,PillarStatue,PillarStatue,300,60
473,HeartStatue,HeartStatue,300,60
474,PotStatue,PotStatue,300,60
475,SunflowerStatue,SunflowerStatue,300,60
476,KingStatue,KingStatue,300,60
477,QueenStatue,QueenStatue,300,60
478,PiranhaStatue,PiranhaStatue,300,60
479,PlankedWall,PlankedWall,0,0
480,WoodenBeam,WoodenBeam,0,0
481,AdamantiteRepeater,AdamantiteRepeater,120000,24000
482,AdamantiteSword,AdamantiteSword,138000,27600
483,CobaltSword,CobaltSword,69000,13800
484,MythrilSword,MythrilSword,103500,20700
485,MoonCharm,MoonCharm,150000,30000
486,Ruler,Ruler,1000,200
487,CrystalBall,CrystalBall,100000,20000
488,DiscoBall,DiscoBall,10000,2000
489,SorcererEmblem,SorcererEmblem,100000,20000
490,WarriorEmblem,WarriorEmblem,100000,20000
491,RangerEmblem,RangerEmblem,100000,20000
492,DemonWings,DemonWings,400000,80000
493,AngelWings,AngelWings,400000,80000
494,MagicalHarp,MagicalHarp,200000,40000
495,RainbowRod,RainbowRod,200000,40000
496,IceRod,IceRod,500000,100000
497,NeptunesShell,NeptunesShell,375000,75000
498,Mannequin,Mannequin,0,0
499,GreaterHealingPotion,GreaterHealingPotion,5000,1000
500,GreaterManaPotion,GreaterManaPotion,500,100
501,PixieDust,PixieDust,500,100
502,CrystalShard,CrystalShard,8000,1600
503,ClownHat,ClownHat,20000,4000
504,ClownShirt,ClownShirt,10000,2000
505,ClownPants,ClownPants,10000,2000
506,Flamethrower,Flamethrower,500000,100000
507,Bell,Bell,10000,2000
508,Harp,Harp,10000,2000
509,Wrench,Wrench,20000,4000
510,WireCutter,WireCutter,20000,4000
511,ActiveStoneBlock,ActiveStoneBlock,1000,200
512,InactiveStoneBlock,InactiveStoneBlock,1000,200
513,Lever,Lever,3000,600
514,LaserRifle,LaserRifle,150000,30000
515,CrystalBullet,CrystalBullet,30,6
516,HolyArrow,HolyArrow,80,16
517,MagicDagger,MagicDagger,250000,50000
518,CrystalStorm,CrystalStorm,200000,40000
519,CursedFlames,CursedFlames,200000,40000
520,SoulofLight,SoulofLight,1000,200
521,SoulofNight,SoulofNight,1000,200
522,CursedFlame,CursedFlame,4000,800
523,CursedTorch,CursedTorch,150,30
524,AdamantiteForge,AdamantiteForge,50000,10000
525,MythrilAnvil,MythrilAnvil,25000,5000
526,UnicornHorn,UnicornHorn,15000,3000
527,DarkShard,DarkShard,4500,900
528,LightShard,LightShard,4500,900
529,RedPressurePlate,RedPressurePlate,5000,1000
530,Wire,Wire,500,100
531,SpellTome,SpellTome,50000,10000
532,StarCloak,StarCloak,100000,20000
533,Megashark,Megashark,350000,70000
534,Shotgun,Shotgun,250000,50000
535,PhilosophersStone,PhilosophersStone,100000,20000
536,TitanGlove,TitanGlove,100000,20000
537,CobaltNaginata,CobaltNaginata,45000,9000
538,Switch,Switch,2000,400
539,DartTrap,DartTrap,10000,2000
540,Boulder,Boulder,0,0
541,GreenPressurePlate,GreenPressurePlate,5000,1000
542,GrayPressurePlate,GrayPressurePlate,5000,1000
543,BrownPressurePlate,BrownPressurePlate,5000,1000
544,MechanicalEye,MechanicalEye,0,0
545,CursedArrow,CursedArrow,40,8
546,CursedBullet,CursedBullet,30,6
547,SoulofFright,SoulofFright,40000,8000
548,SoulofMight,SoulofMight,40000,8000
549,SoulofSight,SoulofSight,40000,8000
550,Gungnir,Gungnir,230000,46000
551,HallowedPlateMail,HallowedPlateMail,200000,40000
552,HallowedGreaves,HallowedGreaves,150000,30000
553,HallowedHelmet,HallowedHelmet,250000,50000
554,CrossNecklace,CrossNecklace,100000,20000
555,ManaFlower,ManaFlower,50000,10000
556,MechanicalWorm,MechanicalWorm,0,0
557,MechanicalSkull,MechanicalSkull,0,0
558,HallowedHeadgear,HallowedHeadgear,250000,50000
559,HallowedMask,HallowedMask,250000,50000
560,SlimeCrown,SlimeCrown,0,0
561,LightDisc,LightDisc,750000,150000
562,MusicBoxOverworldDay,MusicBoxOverworldDay,100000,20000
563,MusicBoxEerie,MusicBoxEerie,100000,20000
564,MusicBoxNight,MusicBoxNight,100000,20000
565,MusicBoxTitle,MusicBoxTitle,100000,20000
566,MusicBoxUnderground,MusicBoxUnderground,100000,20000
567,MusicBoxBoss1,MusicBoxBoss1,100000,20000
568,MusicBoxJungle,MusicBoxJungle,100000,20000
569,MusicBoxCorruption,MusicBoxCorruption,100000,20000
570,MusicBoxUndergroundCorruption,MusicBoxUndergroundCorruption,100000,20000
571,MusicBoxTheHallow,MusicBoxTheHallow,100000,20000
572,MusicBoxBoss2,MusicBoxBoss2,100000,20000
573,MusicBoxUndergroundHallow,MusicBoxUndergroundHallow,100000,20000
574,MusicBoxBoss3,MusicBoxBoss3,100000,20000
575,SoulofFlight,SoulofFlight,1000,200
576,MusicBox,MusicBox,100000,20000
577,DemoniteBrick,DemoniteBrick,0,0
578,HallowedRepeater,HallowedRepeater,200000,40000
579,Drax,Drax,220000,44000
580,Explosives,Explosives,5000,1000
581,InletPump,InletPump,0,0
582,OutletPump,OutletPump,0,0
583,Timer1Second,Timer1Second,10000,2000
584,Timer3Second,Timer3Second,10000,2000
585,Timer5Second,Timer5Second,10000,2000
586,CandyCaneBlock,CandyCaneBlock,0,0
587,CandyCaneWall,CandyCaneWall,0,0
588,SantaHat,SantaHat,150000,30000
589,SantaShirt,SantaShirt,150000,30000
590,SantaPants,SantaPants,150000,30000
591,GreenCandyCaneBlock,GreenCandyCaneBlock,0,0
592,GreenCandyCaneWall,GreenCandyCaneWall,0,0
593,SnowBlock,SnowBlock,0,0
594,SnowBrick,SnowBrick,0,0
595,SnowBrickWall,SnowBrickWall,0,0
596,BlueLight,BlueLight,500,100
597,RedLight,RedLight,500,100
598,GreenLight,GreenLight,500,100
599,BluePresent,BluePresent,0,0
600,GreenPresent,GreenPresent,0,0
601,YellowPresent,YellowPresent,0,0
602,SnowGlobe,SnowGlobe,0,0
603,Carrot,Carrot,0,0
604,AdamantiteBeam,AdamantiteBeam,0,0
605,AdamantiteBeamWall,AdamantiteBeamWall,0,0
606,DemoniteBrickWall,DemoniteBrickWall,0,0
607,SandstoneBrick,SandstoneBrick,0,0
608,SandstoneBrickWall,SandstoneBrickWall,0,0
609,EbonstoneBrick,EbonstoneBrick,0,0
610,EbonstoneBrickWall,EbonstoneBrickWall,0,0
611,RedStucco,RedStucco,0,0
612,YellowStucco,YellowStucco,0,0
613,GreenStucco,GreenStucco,0,0
614,GrayStucco,GrayStucco,0,0
615,RedStuccoWall,RedStuccoWall,0,0
616,YellowStuccoWall,YellowStuccoWall,0,0
617,GreenStuccoWall,GreenStuccoWall,0,0
618,GrayStuccoWall,GrayStuccoWall,0,0
619,Ebonwood,Ebonwood,0,0
620,RichMahogany,RichMahogany,0,0
621,Pearlwood,Pearlwood,0,0
622,EbonwoodWall,EbonwoodWall,0,0
623,RichMahoganyWall,RichMahoganyWall,0,0
624,PearlwoodWall,PearlwoodWall,0,0
625,EbonwoodChest,EbonwoodChest,500,100
626,RichMahoganyChest,RichMahoganyChest,500,100
627,PearlwoodChest,PearlwoodChest,500,100
628,EbonwoodChair,EbonwoodChair,150,30
629,RichMahoganyChair,RichMahoganyChair,150,30
630,PearlwoodChair,PearlwoodChair,150,30
631,EbonwoodPlatform,EbonwoodPlatform,0,0
632,RichMahoganyPlatform,RichMahoganyPlatform,0,0
