InputItemId,InputItemName,OutputItemId,OutputItemName,OutputAmount,Type
249,ItemName.HerosPants,225,ItemName.Silk,20,deconstruct
249,ItemName.HerosPants,255,ItemName.GreenThread,3,deconstruct
250,ItemName.FishBowl,126,ItemName.BottledWater,1,deconstruct
250,ItemName.FishBowl,261,ItemName.Goldfish,1,deconstruct
252,ItemName.ArchaeologistsJacket,259,ItemName.Leather,15,deconstruct
253,ItemName.ArchaeologistsPants,259,ItemName.Leather,15,deconstruct
255,ItemName.GreenThread,195,ItemName.JungleGrassSeeds,3,deconstruct
259,ItemName.Leather,68,ItemName.RottenChunk,5,deconstruct
262,ItemName.Robe,225,ItemName.Silk,20,deconstruct
264,ItemName.GoldCrown,19,ItemName.GoldBar,5,deconstruct
264,ItemName.GoldCrown,178,ItemName.Ruby,1,deconstruct
265,ItemName.HellfireArrow,5348,ItemName.ShimmerArrow,1,item_transform
266,ItemName.Sandgun,180,ItemName.Topaz,5,deconstruct
266,ItemName.Sandgun,323,ItemName.AntlionMandible,10,deconstruct
266,ItemName.Sandgun,324,ItemName.IllegalGunParts,1,deconstruct
273,ItemName.NightsEdge,46,ItemName.LightsBane,1,deconstruct
273,ItemName.NightsEdge,121,ItemName.FieryGreatsword,1,deconstruct
273,ItemName.NightsEdge,155,ItemName.Muramasa,1,deconstruct
273,ItemName.NightsEdge,190,ItemName.BladeofGrass,1,deconstruct
276,ItemName.Cactus,1725,ItemName.Pumpkin,1,item_transform
278,ItemName.SilverBullet,14,ItemName.SilverOre,1,deconstruct
278,ItemName.SilverBullet,97,ItemName.MusketBall,70,deconstruct
280,ItemName.Spear,277,ItemName.Trident,1,item_transform
286,ItemName.StickyGlowstick,23,ItemName.Gel,1,deconstruct
286,ItemName.StickyGlowstick,282,ItemName.Glowstick,5,deconstruct
287,ItemName.PoisonedKnife,67,ItemName.VilePowder,1,deconstruct
287,ItemName.PoisonedKnife,279,ItemName.ThrowingKnife,50,deconstruct
288,ItemName.ObsidianSkinPotion,126,ItemName.BottledWater,1,deconstruct
288,ItemName.ObsidianSkinPotion,173,ItemName.Obsidian,1,deconstruct
288,ItemName.ObsidianSkinPotion,317,ItemName.Waterleaf,1,deconstruct
288,ItemName.ObsidianSkinPotion,318,ItemName.Fireblossom,1,deconstruct
289,ItemName.RegenerationPotion,5,ItemName.Mushroom,1,deconstruct
289,ItemName.RegenerationPotion,126,ItemName.BottledWater,1,deconstruct
289,ItemName.RegenerationPotion,313,ItemName.Daybloom,1,deconstruct
290,ItemName.SwiftnessPotion,126,ItemName.BottledWater,1,deconstruct
290,ItemName.SwiftnessPotion,276,ItemName.Cactus,1,deconstruct
290,ItemName.SwiftnessPotion,315,ItemName.Blinkroot,1,deconstruct
291,ItemName.GillsPotion,126,ItemName.BottledWater,1,deconstruct
291,ItemName.GillsPotion,275,ItemName.Coral,1,deconstruct
291,ItemName.GillsPotion,317,ItemName.Waterleaf,1,deconstruct
292,ItemName.IronskinPotion,11,ItemName.IronOre,1,deconstruct
292,ItemName.IronskinPotion,126,ItemName.BottledWater,1,deconstruct
292,ItemName.IronskinPotion,313,ItemName.Daybloom,1,deconstruct
293,ItemName.ManaRegenerationPotion,75,ItemName.FallenStar,1,deconstruct
293,ItemName.ManaRegenerationPotion,126,ItemName.BottledWater,1,deconstruct
293,ItemName.ManaRegenerationPotion,313,ItemName.Daybloom,1,deconstruct
293,ItemName.ManaRegenerationPotion,314,ItemName.Moonglow,1,deconstruct
294,ItemName.MagicPowerPotion,75,ItemName.FallenStar,1,deconstruct
294,ItemName.MagicPowerPotion,126,ItemName.BottledWater,1,deconstruct
294,ItemName.MagicPowerPotion,314,ItemName.Moonglow,1,deconstruct
294,ItemName.MagicPowerPotion,316,ItemName.Deathweed,1,deconstruct
295,ItemName.FeatherfallPotion,126,ItemName.BottledWater,1,deconstruct
295,ItemName.FeatherfallPotion,313,ItemName.Daybloom,1,deconstruct
295,ItemName.FeatherfallPotion,315,ItemName.Blinkroot,1,deconstruct
295,ItemName.FeatherfallPotion,320,ItemName.Feather,1,deconstruct
296,ItemName.SpelunkerPotion,13,ItemName.GoldOre,1,deconstruct
296,ItemName.SpelunkerPotion,126,ItemName.BottledWater,1,deconstruct
296,ItemName.SpelunkerPotion,314,ItemName.Moonglow,1,deconstruct
296,ItemName.SpelunkerPotion,315,ItemName.Blinkroot,1,deconstruct
297,ItemName.InvisibilityPotion,126,ItemName.BottledWater,1,deconstruct
297,ItemName.InvisibilityPotion,314,ItemName.Moonglow,1,deconstruct
297,ItemName.InvisibilityPotion,315,ItemName.Blinkroot,1,deconstruct
298,ItemName.ShinePotion,126,ItemName.BottledWater,1,deconstruct
298,ItemName.ShinePotion,183,ItemName.GlowingMushroom,1,deconstruct
298,ItemName.ShinePotion,313,ItemName.Daybloom,1,deconstruct
299,ItemName.NightOwlPotion,126,ItemName.BottledWater,1,deconstruct
299,ItemName.NightOwlPotion,313,ItemName.Daybloom,1,deconstruct
299,ItemName.NightOwlPotion,315,ItemName.Blinkroot,1,deconstruct
300,ItemName.BattlePotion,126,ItemName.BottledWater,1,deconstruct
300,ItemName.BattlePotion,316,ItemName.Deathweed,1,deconstruct
300,ItemName.BattlePotion,1330,ItemName.Vertebrae,1,deconstruct
301,ItemName.ThornsPotion,126,ItemName.BottledWater,1,deconstruct
301,ItemName.ThornsPotion,276,ItemName.Cactus,1,deconstruct
301,ItemName.ThornsPotion,316,ItemName.Deathweed,1,deconstruct
302,ItemName.WaterWalkingPotion,126,ItemName.BottledWater,1,deconstruct
302,ItemName.WaterWalkingPotion,317,ItemName.Waterleaf,1,deconstruct
302,ItemName.WaterWalkingPotion,319,ItemName.SharkFin,1,deconstruct
303,ItemName.ArcheryPotion,38,ItemName.Lens,1,deconstruct
303,ItemName.ArcheryPotion,126,ItemName.BottledWater,1,deconstruct
303,ItemName.ArcheryPotion,313,ItemName.Daybloom,1,deconstruct
304,ItemName.HunterPotion,126,ItemName.BottledWater,1,deconstruct
304,ItemName.HunterPotion,313,ItemName.Daybloom,1,deconstruct
304,ItemName.HunterPotion,315,ItemName.Blinkroot,1,deconstruct
304,ItemName.HunterPotion,319,ItemName.SharkFin,1,deconstruct
305,ItemName.GravitationPotion,126,ItemName.BottledWater,1,deconstruct
305,ItemName.GravitationPotion,315,ItemName.Blinkroot,1,deconstruct
305,ItemName.GravitationPotion,316,ItemName.Deathweed,1,deconstruct
305,ItemName.GravitationPotion,318,ItemName.Fireblossom,1,deconstruct
305,ItemName.GravitationPotion,320,ItemName.Feather,1,deconstruct
330,ItemName.ObsidianBrickWall,192,ItemName.ObsidianBrick,1,deconstruct
332,ItemName.Loom,9,ItemName.Wood,12,deconstruct
333,ItemName.Piano,9,ItemName.Wood,15,deconstruct
333,ItemName.Piano,149,ItemName.Book,1,deconstruct
333,ItemName.Piano,154,ItemName.Bone,4,deconstruct
334,ItemName.Dresser,9,ItemName.Wood,16,deconstruct
335,ItemName.Bench,9,ItemName.Wood,8,deconstruct
336,ItemName.Bathtub,22,ItemName.IronBar,14,deconstruct
337,ItemName.RedBanner,225,ItemName.Silk,3,deconstruct
338,ItemName.GreenBanner,225,ItemName.Silk,3,deconstruct
339,ItemName.BlueBanner,225,ItemName.Silk,3,deconstruct
340,ItemName.YellowBanner,225,ItemName.Silk,3,deconstruct
341,ItemName.LampPost,8,ItemName.Torch,1,deconstruct
341,ItemName.LampPost,22,ItemName.IronBar,3,deconstruct
341,ItemName.LampPost,170,ItemName.Glass,2,deconstruct
342,ItemName.TikiTorch,8,ItemName.Torch,1,deconstruct
342,ItemName.TikiTorch,9,ItemName.Wood,3,deconstruct
343,ItemName.Barrel,9,ItemName.Wood,9,deconstruct
343,ItemName.Barrel,22,ItemName.IronBar,1,deconstruct
344,ItemName.ChineseLantern,8,ItemName.Torch,1,deconstruct
344,ItemName.ChineseLantern,225,ItemName.Silk,5,deconstruct
345,ItemName.CookingPot,9,ItemName.Wood,2,deconstruct
345,ItemName.CookingPot,22,ItemName.IronBar,10,deconstruct
347,ItemName.SkullLantern,8,ItemName.Torch,1,deconstruct
347,ItemName.SkullLantern,154,ItemName.Bone,10,deconstruct
348,ItemName.TrashCan,22,ItemName.IronBar,8,deconstruct
349,ItemName.Candelabra,8,ItemName.Torch,3,deconstruct
349,ItemName.Candelabra,19,ItemName.GoldBar,5,deconstruct
350,ItemName.PinkVase,133,ItemName.ClayBlock,4,deconstruct
351,ItemName.Mug,170,ItemName.Glass,1,deconstruct
352,ItemName.Keg,9,ItemName.Wood,14,deconstruct
353,ItemName.Ale,351,ItemName.Mug,1,deconstruct
354,ItemName.Bookcase,9,ItemName.Wood,20,deconstruct
354,ItemName.Bookcase,149,ItemName.Book,10,deconstruct
355,ItemName.Throne,19,ItemName.GoldBar,30,deconstruct
355,ItemName.Throne,225,ItemName.Silk,20,deconstruct
356,ItemName.Bowl,133,ItemName.ClayBlock,2,deconstruct
358,ItemName.Toilet,22,ItemName.IronBar,6,deconstruct
359,ItemName.GrandfatherClock,9,ItemName.Wood,10,deconstruct
359,ItemName.GrandfatherClock,22,ItemName.IronBar,3,deconstruct
359,ItemName.GrandfatherClock,170,ItemName.Glass,6,deconstruct
360,ItemName.ArmorStatue,3,ItemName.StoneBlock,50,deconstruct
361,ItemName.GoblinBattleStandard,9,ItemName.Wood,5,deconstruct
361,ItemName.GoblinBattleStandard,362,ItemName.TatteredCloth,10,deconstruct
363,ItemName.Sawmill,9,ItemName.Wood,10,deconstruct
363,ItemName.Sawmill,22,ItemName.IronBar,2,deconstruct
363,ItemName.Sawmill,85,ItemName.Chain,1,deconstruct
364,ItemName.CobaltOre,702,ItemName.PlatinumOre,1,item_transform
365,ItemName.MythrilOre,1104,ItemName.PalladiumOre,1,item_transform
366,ItemName.AdamantiteOre,1105,ItemName.OrichalcumOre,1,item_transform
368,ItemName.Excalibur,1225,ItemName.HallowedBar,12,deconstruct
371,ItemName.CobaltHat,381,ItemName.CobaltBar,10,deconstruct
372,ItemName.CobaltHelmet,381,ItemName.CobaltBar,10,deconstruct
373,ItemName.CobaltMask,381,ItemName.CobaltBar,10,deconstruct
374,ItemName.CobaltBreastplate,381,ItemName.CobaltBar,20,deconstruct
375,ItemName.CobaltLeggings,381,ItemName.CobaltBar,15,deconstruct
376,ItemName.MythrilHood,382,ItemName.MythrilBar,10,deconstruct
377,ItemName.MythrilHelmet,382,ItemName.MythrilBar,10,deconstruct
378,ItemName.MythrilHat,382,ItemName.MythrilBar,10,deconstruct
379,ItemName.MythrilChainmail,382,ItemName.MythrilBar,20,deconstruct
380,ItemName.MythrilGreaves,382,ItemName.MythrilBar,15,deconstruct
381,ItemName.CobaltBar,364,ItemName.CobaltOre,3,deconstruct
382,ItemName.MythrilBar,365,ItemName.MythrilOre,4,deconstruct
383,ItemName.CobaltChainsaw,381,ItemName.CobaltBar,10,deconstruct
384,ItemName.MythrilChainsaw,382,ItemName.MythrilBar,10,deconstruct
385,ItemName.CobaltDrill,381,ItemName.CobaltBar,15,deconstruct
386,ItemName.MythrilDrill,382,ItemName.MythrilBar,15,deconstruct
387,ItemName.AdamantiteChainsaw,391,ItemName.AdamantiteBar,12,deconstruct
388,ItemName.AdamantiteDrill,391,ItemName.AdamantiteBar,18,deconstruct
389,ItemName.DaoofPow,520,ItemName.SoulofLight,7,deconstruct
389,ItemName.DaoofPow,521,ItemName.SoulofNight,7,deconstruct
389,ItemName.DaoofPow,527,ItemName.DarkShard,1,deconstruct
389,ItemName.DaoofPow,528,ItemName.LightShard,1,deconstruct
390,ItemName.MythrilHalberd,382,ItemName.MythrilBar,10,deconstruct
391,ItemName.AdamantiteBar,366,ItemName.AdamantiteOre,4,deconstruct
392,ItemName.GlassWall,170,ItemName.Glass,1,deconstruct
394,ItemName.DivingGear,187,ItemName.Flipper,1,deconstruct
394,ItemName.DivingGear,268,ItemName.DivingHelmet,1,deconstruct
395,ItemName.GPS,17,ItemName.GoldWatch,1,deconstruct
395,ItemName.GPS,18,ItemName.DepthMeter,1,deconstruct
395,ItemName.GPS,393,ItemName.Compass,1,deconstruct
396,ItemName.ObsidianHorseshoe,158,ItemName.LuckyHorseshoe,1,deconstruct
396,ItemName.ObsidianHorseshoe,193,ItemName.ObsidianSkull,1,deconstruct
397,ItemName.ObsidianShield,156,ItemName.CobaltShield,1,deconstruct
397,ItemName.ObsidianShield,193,ItemName.ObsidianSkull,1,deconstruct
399,ItemName.CloudinaBalloon,53,ItemName.CloudinaBottle,1,deconstruct
399,ItemName.CloudinaBalloon,159,ItemName.ShinyRedBalloon,1,deconstruct
400,ItemName.AdamantiteHeadgear,391,ItemName.AdamantiteBar,12,deconstruct
401,ItemName.AdamantiteHelmet,391,ItemName.AdamantiteBar,12,deconstruct
402,ItemName.AdamantiteMask,391,ItemName.AdamantiteBar,12,deconstruct
403,ItemName.AdamantiteBreastplate,391,ItemName.AdamantiteBar,24,deconstruct
